type	latitude	longitude	altitude (m)	name
W	20.916227886	107.005462646	0.0	Px8y20
W	20.916227886	107.010612488	0.0	Px9y20
W	20.916227886	107.015762329	0.0	Px10y20
W	20.916227886	107.020912170	0.0	Px11y20
W	20.916227886	107.026062012	0.0	Px12y20
W	20.916227886	107.031211853	0.0	Px13y20
W	20.916227886	107.036361694	0.0	Px14y20
W	20.916227886	107.041511536	0.0	Px15y20
W	20.916227886	107.046661377	0.0	Px16y20
W	20.916227886	107.051811218	0.0	Px17y20
W	20.916227886	107.056961060	0.0	Px18y20
W	20.916227886	107.062110901	0.0	Px19y20
W	20.916227886	107.067260742	0.0	Px20y20
W	20.916227886	107.072410584	0.0	Px21y20
W	20.916227886	107.077560425	0.0	Px22y20
W	20.916227886	107.082710266	0.0	Px23y20
W	20.916227886	107.087860107	0.0	Px24y20
W	20.916227886	107.093009949	0.0	Px25y20
W	20.916227886	107.098159790	4.5	Px26y20
W	20.911417324	106.969413757	0.0	Px1y21
W	20.911417324	106.974563599	0.0	Px2y21
W	20.911417324	106.979713440	0.0	Px3y21
W	20.911417324	106.984863281	0.0	Px4y21
W	20.911417324	106.990013123	0.0	Px5y21
W	20.911417324	106.995162964	0.0	Px6y21
W	20.911417324	107.000312805	0.0	Px7y21
W	20.911417324	107.005462646	0.0	Px8y21
W	20.911417324	107.010612488	0.0	Px9y21
W	20.911417324	107.015762329	0.0	Px10y21
W	20.911417324	107.020912170	2.1	Px11y21
W	20.911417324	107.026062012	0.0	Px12y21
W	20.911417324	107.031211853	0.0	Px13y21
W	20.911417324	107.036361694	0.0	Px14y21
W	20.911417324	107.041511536	0.0	Px15y21
W	20.911417324	107.046661377	0.0	Px16y21
W	20.911417324	107.051811218	0.0	Px17y21
W	20.911417324	107.056961060	0.0	Px18y21
W	20.911417324	107.062110901	0.0	Px19y21
W	20.911417324	107.067260742	0.0	Px20y21
W	20.911417324	107.072410584	0.0	Px21y21
W	20.911417324	107.077560425	0.0	Px22y21
W	20.911417324	107.082710266	0.0	Px23y21
W	20.911417324	107.087860107	0.0	Px24y21
W	20.911417324	107.093009949	0.0	Px25y21
W	20.911417324	107.098159790	0.0	Px26y21
W	20.906606608	106.969413757	0.0	Px1y22
W	20.906606608	106.974563599	0.0	Px2y22
W	20.906606608	106.979713440	0.0	Px3y22
W	20.906606608	106.984863281	0.0	Px4y22
W	20.906606608	106.990013123	0.0	Px5y22
W	20.906606608	106.995162964	0.0	Px6y22
W	20.906606608	107.000312805	0.0	Px7y22
W	20.906606608	107.005462646	0.0	Px8y22
W	20.906606608	107.010612488	0.0	Px9y22
W	20.906606608	107.015762329	0.0	Px10y22
W	20.906606608	107.020912170	129.9	Px11y22
W	20.906606608	107.026062012	0.0	Px12y22
W	20.906606608	107.031211853	0.0	Px13y22
W	20.906606608	107.036361694	0.0	Px14y22
W	20.906606608	107.041511536	0.0	Px15y22
W	20.906606608	107.046661377	0.0	Px16y22
W	20.906606608	107.051811218	0.0	Px17y22
W	20.906606608	107.056961060	0.0	Px18y22
W	20.906606608	107.062110901	0.0	Px19y22
W	20.906606608	107.067260742	0.0	Px20y22
W	20.906606608	107.072410584	0.0	Px21y22
W	20.906606608	107.077560425	0.0	Px22y22
W	20.906606608	107.082710266	0.0	Px23y22
W	20.906606608	107.087860107	0.0	Px24y22
W	20.906606608	107.093009949	0.0	Px25y22
W	20.906606608	107.098159790	0.0	Px26y22
